Date,Day,Day Count,,
22-12-2025,Monday,Day 1,22 to 27,1
23-12-2025,Tuesday,Day 2,,
24-12-2025,Wednesday,Day 3,,
26-12-2025,Friday,Day 4,,
27-12-2025,Saturday,Day 5,,
29-12-2025,Monday,Day 6,29 to 03,2
30-12-2025,Tuesday,Day 7,,
31-12-2025,Wednesday,Day 8,,
01-01-2026,Thursday,Day 9,,
02-01-2026,Friday,Day 10,,
03-01-2026,Saturday,Day 11,,
05-01-2026,Monday,Day 12,5 to 10,3
06-01-2026,Tuesday,Day 13,,
07-01-2026,Wednesday,Day 14,,
08-01-2026,Thursday,Day 15,,
09-01-2026,Friday,Day 16,,
10-01-2026,Saturday,Day 17,,
12-01-2026,Monday,Day 18,12 to 17,4
13-01-2026,Tuesday,Day 19,,
14-01-2026,Wednesday,Day 20,,
16-01-2026,Friday,Day 21,,
17-01-2026,Saturday,Day 22,,
19-01-2026,Monday,Day 23,19 to 24,5
20-01-2026,Tuesday,Day 24,,
21-01-2026,Wednesday,Day 25,,
22-01-2026,Thursday,Day 26,,
23-01-2026,Friday,Day 27,,
24-01-2026,Saturday,Day 28,,
27-01-2026,Tuesday,Day 29,27 to 31,6
28-01-2026,Wednesday,Day 30,,
29-01-2026,Thursday,Day 31,,
30-01-2026,Friday,Day 32,,
31-01-2026,Saturday,Day 33,,
02-02-2026,Monday,Day 34,2 to 7,7
03-02-2026,Tuesday,Day 35,,
04-02-2026,Wednesday,Day 36,,
05-02-2026,Thursday,Day 37,,
06-02-2026,Friday,Day 38,,
07-02-2026,Saturday,Day 39,,
09-02-2026,Monday,Day 40,9 to 14,8
10-02-2026,Tuesday,Day 41,,
11-02-2026,Wednesday,Day 42,,
12-02-2026,Thursday,Day 43,,
13-02-2026,Friday,Day 44,,
14-02-2026,Saturday,Day 45,,
16-02-2026,Monday,Day 46,16 to 21,9
17-02-2026,Tuesday,Day 47,,
18-02-2026,Wednesday,Day 48,,
19-02-2026,Thursday,Day 49,,
20-02-2026,Friday,Day 50,,
21-02-2026,Saturday,Day 51,,
23-02-2026,Monday,Day 52,23 to 28,10
24-02-2026,Tuesday,Day 53,,
25-02-2026,Wednesday,Day 54,,
26-02-2026,Thursday,Day 55,,
27-02-2026,Friday,Day 56,,
28-02-2026,Saturday,Day 57,,
02-03-2026,Monday,Day 58,2 to 7,11
03-03-2026,Tuesday,Day 59,,
04-03-2026,Wednesday,Day 60,,
05-03-2026,Thursday,Day 61,,
06-03-2026,Friday,Day 62,,
07-03-2026,Saturday,Day 63,,
09-03-2026,Monday,Day 64,9 to 14,12
10-03-2026,Tuesday,Day 65,,
11-03-2026,Wednesday,Day 66,,
12-03-2026,Thursday,Day 67,,
13-03-2026,Friday,Day 68,,
14-03-2026,Saturday,Day 69,,
16-03-2026,Monday,Day 70,16 to 20,13
17-03-2026,Tuesday,Day 71,,
18-03-2026,Wednesday,Day 72,,
19-03-2026,Thursday,Day 73,,
20-03-2026,Friday,Day 74,,
23-03-2026,Monday,Day 75,23 to 28,14
24-03-2026,Tuesday,Day 76,,
25-03-2026,Wednesday,Day 77,,
26-03-2026,Thursday,Day 78,,
27-03-2026,Friday,Day 79,,
28-03-2026,Saturday,Day 80,,
30-03-2026,Monday,Day 81,30 to 4,15
01-04-2026,Wednesday,Day 82,,
02-04-2026,Thursday,Day 83,,
04-04-2026,Saturday,Day 84,,
06-04-2026,Monday,Day 85,6 to 11,16
07-04-2026,Tuesday,Day 86,,
08-04-2026,Wednesday,Day 87,,
09-04-2026,Thursday,Day 88,,
10-04-2026,Friday,Day 89,,
11-04-2026,Saturday,Day 90,,
13-04-2026,Monday,submitting and this date not counts,,
